Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score
935,AMERICAN JOURNAL OF BIOETHICS,"2,023",4.847,0.003410
935,AMERICAN JOURNAL OF BIOETHICS,"2,023",4.847,0.003410
935,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"51,704",4.847,0.087560
938,HEALTH AFFAIRS,"15,756",4.843,0.055270
938,HEALTH AFFAIRS,"15,756",4.843,0.055270
940,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,"12,666",4.841,0.022090
941,Advanced Materials Interfaces,"4,172",4.834,0.012560
942,Food Engineering Reviews,795,4.833,0.001330
943,Cells,"1,005",4.829,0.004100
944,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,"31,802",4.816,0.037960
945,Developmental Cognitive Neuroscience,"1,964",4.815,0.008170
945,Developmental Cognitive Neuroscience,"1,964",4.815,0.008170
947,JOURNAL OF ORGANIC CHEMISTRY,"100,091",4.805,0.091170
948,FERTILITY AND STERILITY,"35,616",4.803,0.045910
949,TECHNOVATION,"5,639",4.802,0.003220
949,TECHNOVATION,"5,639",4.802,0.003220
951,ACADEMIC MEDICINE,"14,301",4.801,0.025360
952,WILDLIFE MONOGRAPHS,805,4.800,0.000430
953,EDUCATIONAL PSYCHOLOGY REVIEW,"3,989",4.797,0.003610
954,AMERICAN JOURNAL OF OPHTHALMOLOGY,"25,234",4.795,0.031820
955,MRS BULLETIN,"7,670",4.788,0.014060
956,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"4,520",4.787,0.006150
957,DEVELOPMENTAL REVIEW,"2,869",4.783,0.003170
958,Physical Review Applied,"3,366",4.782,0.016690
959,Journal of Materials Chemistry B,"17,268",4.776,0.043630
960,Clinics in Liver Disease,"2,076",4.771,0.004710
960,EVOLUTIONARY ANTHROPOLOGY,"1,868",4.771,0.002510
962,ANNALS OF MATHEMATICS,"11,695",4.768,0.026350
963,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,"16,326",4.767,0.031690
964,CELLULAR ONCOLOGY,"1,322",4.761,0.002020
965,Journal of Stroke,694,4.750,0.002880
965,Reviews in Fisheries Science & Aquaculture,208,4.750,0.000690
965,Therapeutic Advances in Neurological Disorders,"1,004",4.750,0.002800
968,HEART RHYTHM,"11,723",4.743,0.033520
969,CRITICAL REVIEWS IN MICROBIOLOGY,"2,307",4.738,0.003450
969,JOURNAL OF PSYCHOPHARMACOLOGY,"5,808",4.738,0.010900
971,ENVIRONMENTAL RESEARCH,"13,420",4.732,0.021790
972,PSYCHONEUROENDOCRINOLOGY,"16,507",4.731,0.030420
973,PROGRESS IN AEROSPACE SCIENCES,"3,156",4.729,0.003990
974,GPS SOLUTIONS,"2,438",4.727,0.004430
975,WASTE MANAGEMENT,"20,761",4.723,0.020900
976,Oncogenesis,"1,348",4.722,0.004480
977,PARKINSONISM & RELATED DISORDERS,"8,967",4.721,0.019910
978,XENOTRANSPLANTATION,"1,479",4.717,0.002550
979,Circulation-Arrhythmia and Electrophysiology,"6,026",4.712,0.021390
980,NEUROREHABILITATION AND NEURAL REPAIR,"5,032",4.711,0.009850
981,Current HIV/AIDS Reports,"1,490",4.710,0.004890
982,INORGANIC CHEMISTRY,"92,336",4.700,0.101880
983,Evolutionary Applications,"3,417",4.694,0.010840
984,Expert Opinion on Drug Discovery,"2,595",4.692,0.006200
985,Translational Psychiatry,"5,384",4.691,0.021220
986,DRUGS,"10,340",4.690,0.013330
986,GEOCHIMICA ET COSMOCHIMICA ACTA,"64,492",4.690,0.057150
988,Advances in Genetics,"1,529",4.689,0.002430
989,BJU INTERNATIONAL,"20,875",4.688,0.030530
990,Academy of Management Perspectives,"2,404",4.686,0.004600
991,Cell Division,571,4.684,0.001020
992,ANNALS OF EMERGENCY MEDICINE,"12,555",4.680,0.016670
993,Advances in Nonlinear Analysis,290,4.674,0.002130
993,ChemCatChem,"13,109",4.674,0.031040
995,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,"10,226",4.673,0.016950
996,IEEE TRANSACTIONS ON COMMUNICATIONS,"19,617",4.671,0.037740
996,JOURNAL OF MEDICAL INTERNET RESEARCH,"10,875",4.671,0.027410
998,CATALYSIS TODAY,"34,012",4.667,0.029830
999,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"34,522",4.662,0.043400
1000,JOURNAL OF CLIMATE,"47,036",4.661,0.085950
1000,RESEARCH POLICY,"20,135",4.661,0.018020
1002,BIOLOGICAL CONSERVATION,"28,274",4.660,0.036240
1002,CEMENT & CONCRETE COMPOSITES,"11,364",4.660,0.015390
1002,ELECTROCHEMISTRY COMMUNICATIONS,"21,226",4.660,0.022280
1005,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,"15,355",4.651,0.035090
1006,Annals of Clinical and Translational Neurology,"1,377",4.649,0.006450
1007,TRANSPORT REVIEWS,"2,363",4.647,0.003310
1008,JOURNAL OF APPLIED PSYCHOLOGY,"35,771",4.643,0.019290
1009,JOURNAL OF ABNORMAL PSYCHOLOGY,"15,363",4.642,0.015040
1010,Reaction Chemistry & Engineering,378,4.641,0.000930
1011,Future Generation Computer Systems-The International Journal of eScience,"6,410",4.639,0.013400
1012,ORAL ONCOLOGY,"8,949",4.636,0.013760
1013,JOURNAL OF GEODESY,"4,436",4.633,0.006330
1014,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,"1,719",4.630,0.005690
1015,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,"3,371",4.625,0.013720
1016,Advanced Materials Technologies,495,4.622,0.000980
1017,Clinical and Translational Gastroenterology,763,4.621,0.003410
1017,EUROPEAN JOURNAL OF NEUROLOGY,"10,206",4.621,0.019350
1019,ECOLOGY,"60,825",4.617,0.044150
1020,DIVERSITY AND DISTRIBUTIONS,"7,404",4.614,0.013080
1021,SCIENCE OF THE TOTAL ENVIRONMENT,"71,249",4.610,0.108650
1022,JOURNAL OF NEUROCHEMISTRY,"37,022",4.609,0.030710
1023,Cancer Biology & Medicine,816,4.607,0.002330
1024,JOURNAL OF INFECTION,"6,636",4.603,0.014730
1025,NEPHROLOGY DIALYSIS TRANSPLANTATION,"25,654",4.600,0.038260
1026,EXPERT OPINION ON THERAPEUTIC TARGETS,"4,556",4.598,0.008790
1026,TRENDS IN CARDIOVASCULAR MEDICINE,"2,588",4.598,0.004040
1028,MOLECULAR CANCER RESEARCH,"7,834",4.597,0.013490
1029,Earths Future,873,4.594,0.004720
1030,ACS Chemical Biology,"10,139",4.592,0.038480
1031,PUBLIC ADMINISTRATION REVIEW,"7,651",4.591,0.006800
1032,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,895,4.586,0.000810
1032,NUTRITION RESEARCH REVIEWS,"2,164",4.586,0.001840
1034,IEEE Transactions on Affective Computing,"1,333",4.585,0.003080
1034,STANFORD LAW REVIEW,"3,863",4.585,0.004540
1036,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,"46,966",4.583,0.044930
1037,EARTH AND PLANETARY SCIENCE LETTERS,"57,889",4.581,0.092360
1038,International Journal of Neural Systems,"1,622",4.580,0.002930
1039,Asian Journal of Pharmaceutical Sciences,"1,120",4.560,0.002410
1040,SEMINARS IN NUCLEAR MEDICINE,"2,285",4.558,0.002990
1041,MOLECULAR PHARMACEUTICS,"15,754",4.556,0.029080
1042,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,"19,976",4.554,0.029440
1043,European Journal of Preventive Cardiology,"3,478",4.542,0.013060
1043,JOURNAL OF ACCOUNTING RESEARCH,"7,153",4.542,0.007930
1043,Journal of Physiotherapy,839,4.542,0.002390
1046,Environmental Research Letters,"11,797",4.541,0.044410
1046,JMIR mHealth and uHealth,"1,418",4.541,0.004630
1048,ANNALS OF FAMILY MEDICINE,"4,711",4.540,0.011480
1048,GYNECOLOGIC ONCOLOGY,"23,652",4.540,0.034310
1048,JOURNAL OF PHYSIOLOGY-LONDON,"48,647",4.540,0.045010
1051,BUILDING AND ENVIRONMENT,"21,261",4.539,0.021660
1051,JOURNAL OF IMMUNOLOGY,"128,250",4.539,0.148890
1053,COMPUTERS & EDUCATION,"13,146",4.538,0.016050
1053,COMPUTERS & EDUCATION,"13,146",4.538,0.016050
1055,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,"23,291",4.536,0.016100
1056,JOURNAL OF INFORMATION TECHNOLOGY,"1,170",4.535,0.001500
1056,JOURNAL OF INFORMATION TECHNOLOGY,"1,170",4.535,0.001500
1058,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,"4,842",4.534,0.007130
1059,FEBS Journal,"17,495",4.530,0.034500
1060,AMERICAN ECONOMIC REVIEW,"48,091",4.528,0.136940
1060,Journal of Oncology,"1,573",4.528,0.002410
1062,MATERIALS & DESIGN,"40,615",4.525,0.078080
1063,CANADIAN JOURNAL OF CARDIOLOGY,"6,035",4.524,0.017810
1063,Cryosphere,"5,336",4.524,0.023100
1065,APPLIED CATALYSIS A-GENERAL,"38,219",4.521,0.028070
1065,Journal of Environmental Informatics,513,4.521,0.001040
1067,ECOGRAPHY,"10,103",4.520,0.018180
1068,INTERNATIONAL ORGANIZATION,"7,196",4.517,0.007670
1069,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,"3,626",4.516,0.004100
1070,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"18,038",4.514,0.018000
1071,HEALTH TECHNOLOGY ASSESSMENT,"5,630",4.513,0.011340
1071,JOURNAL OF MOLECULAR LIQUIDS,"16,597",4.513,0.024100
1073,JOURNAL OF LIPID RESEARCH,"22,697",4.505,0.029380
1074,Agronomy for Sustainable Development,"3,580",4.503,0.006710
1075,Advances in Geophysics,534,4.500,0.000350
1075,LIVER INTERNATIONAL,"8,584",4.500,0.020930
1077,BONE MARROW TRANSPLANTATION,"12,506",4.497,0.020810
1078,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,"6,956",4.495,0.012190
1079,COMBUSTION AND FLAME,"22,948",4.494,0.026350
1080,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,"15,093",4.491,0.015440
1081,BIPOLAR DISORDERS,"5,070",4.490,0.007870
1081,REVIEWS IN CHEMICAL ENGINEERING,731,4.490,0.001280
1081,RNA,"13,110",4.490,0.029440
1084,EDUCATIONAL PSYCHOLOGIST,"5,128",4.488,0.003840
1085,LUNG CANCER,"11,340",4.486,0.019070
1086,BIOCONJUGATE CHEMISTRY,"15,194",4.485,0.021530
1087,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,"10,583",4.484,0.026940
1087,Journal of Physical Chemistry C,"142,502",4.484,0.248400
1089,EXPERIMENTAL NEUROLOGY,"20,806",4.483,0.027350
1090,NEUROSURGERY,"28,592",4.475,0.025930
1091,ATHEROSCLEROSIS,"23,013",4.467,0.039120
1092,CLINICAL PHARMACOKINETICS,"7,970",4.464,0.007320
1093,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,"9,370",4.463,0.011580
1094,Cell Discovery,449,4.462,0.002540
1095,DNA REPAIR,"6,089",4.461,0.014950
1096,JOURNAL OF ANIMAL ECOLOGY,"16,148",4.459,0.017950
1097,ENERGY AND BUILDINGS,"31,865",4.457,0.034470
1097,GLOBAL BIOGEOCHEMICAL CYCLES,"13,353",4.457,0.017080
1099,BONE,"21,280",4.455,0.028800
1099,Clinical Research in Cardiology,"2,789",4.455,0.007260
1099,REVIEW OF ECONOMIC STUDIES,"11,981",4.455,0.034660
1102,NEUROBIOLOGY OF AGING,"21,914",4.454,0.044830
1103,DRUG METABOLISM REVIEWS,"2,611",4.450,0.002420
1103,Journal of the American Heart Association,"9,057",4.450,0.047030
1103,Travel Medicine and Infectious Disease,"1,230",4.450,0.003610
1106,Science China-Chemistry,"4,228",4.448,0.007940
1107,ChemElectroChem,"3,816",4.446,0.009850
1108,Journal of Oral Microbiology,603,4.444,0.001360
1109,ATOMIC DATA AND NUCLEAR DATA TABLES,"2,924",4.441,0.002120
1109,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"26,508",4.441,0.034740
1109,MACROMOLECULAR RAPID COMMUNICATIONS,"13,734",4.441,0.017430
1112,APPLIED SURFACE SCIENCE,"76,301",4.439,0.096960
1113,JOURNAL OF EDUCATIONAL PSYCHOLOGY,"16,343",4.433,0.011920
1114,ACS Biomaterials Science & Engineering,"2,048",4.432,0.005180
1114,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"21,384",4.432,0.041010
1116,CHEMOSPHERE,"66,954",4.427,0.068390
1117,EUROPEAN JOURNAL OF NUTRITION,"5,669",4.423,0.011650
1118,BIOESSAYS,"9,697",4.419,0.016870
1118,Review of Environmental Economics and Policy,"1,110",4.419,0.003740
1120,HORMONES AND BEHAVIOR,"11,304",4.418,0.015540
1120,IEEE Transactions on Services Computing,"1,636",4.418,0.005170
1120,JOURNAL OF METAMORPHIC GEOLOGY,"5,833",4.418,0.005840
1123,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,"3,757",4.417,0.006270
1123,EuroIntervention,"5,742",4.417,0.019300
1125,Frontiers in Oncology,"6,599",4.416,0.024250
1126,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,"9,815",4.414,0.014150
1127,MOLECULAR PHYLOGENETICS AND EVOLUTION,"18,604",4.412,0.029490
1128,CELLULAR MICROBIOLOGY,"8,989",4.410,0.015230
1128,IEEE Transactions on Dependable and Secure Computing,"1,692",4.410,0.004070
1130,Current Opinion in HIV and AIDS,"2,266",4.409,0.008060
1131,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"18,583",4.407,0.022600
1131,RESPIROLOGY,"5,745",4.407,0.010690
1133,MEDICAL EDUCATION,"9,440",4.405,0.011900
1134,JOURNAL OF PEST SCIENCE,"2,074",4.402,0.004480
1135,JOURNAL OF CELL SCIENCE,"42,186",4.401,0.067280
1136,TRAFFIC,"6,353",4.400,0.012670
1137,Disease Models & Mechanisms,"4,485",4.398,0.014760
1137,JOURNAL OF NUTRITION,"38,804",4.398,0.029930
1139,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,"21,041",4.397,0.016260
1140,INDOOR AIR,"4,382",4.396,0.004930
1140,KNOWLEDGE-BASED SYSTEMS,"9,172",4.396,0.022220
1142,Ecosystem Services,"2,637",4.395,0.007000
1142,Ecosystem Services,"2,637",4.395,0.007000
1144,PHYSICAL REVIEW D,"162,627",4.394,0.241860
1145,ECOLOGICAL APPLICATIONS,"20,577",4.393,0.020370
1146,ULTRASCHALL IN DER MEDIZIN,"2,201",4.389,0.004310
1147,ACM TRANSACTIONS ON GRAPHICS,"16,424",4.384,0.037590
1147,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,"2,826",4.384,0.006290
1149,REGIONAL ANESTHESIA AND PAIN MEDICINE,"4,732",4.382,0.005510
1150,CLINICAL TOXICOLOGY,"3,610",4.381,0.006950
1151,AMERICAN JOURNAL OF PUBLIC HEALTH,"37,368",4.380,0.066190
1151,AMERICAN JOURNAL OF PUBLIC HEALTH,"37,368",4.380,0.066190
1153,Marine Drugs,"8,753",4.379,0.016190
1154,Environmental Health,"4,486",4.376,0.010680
1154,World Journal of Stem Cells,"1,278",4.376,0.003490
1156,HARVARD BUSINESS REVIEW,"16,314",4.374,0.012010
1156,SOLAR ENERGY,"29,151",4.374,0.027830
1158,CANCER SCIENCE,"11,994",4.372,0.016230
1159,International Journal of Nanomedicine,"17,134",4.370,0.030010
1159,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,"14,812",4.370,0.020250
1159,PHYSICS TODAY,"4,402",4.370,0.004180
1162,JOURNAL OF VIROLOGY,"89,382",4.368,0.114490
1163,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,"3,680",4.367,0.004970
1163,PLoS Neglected Tropical Diseases,"22,830",4.367,0.071480
1165,IEEE Journal of Selected Topics in Signal Processing,"5,350",4.361,0.016610
1165,WATER RESOURCES RESEARCH,"48,238",4.361,0.054660
1167,ENVIRONMENTAL POLLUTION,"38,318",4.358,0.042320
1168,DEVELOPMENT AND PSYCHOPATHOLOGY,"10,349",4.357,0.013270
1169,JOURNAL OF INDUSTRIAL ECOLOGY,"5,124",4.356,0.005700
1169,SEMINARS IN ARTHRITIS AND RHEUMATISM,"5,478",4.356,0.011310
1171,ANGIOGENESIS,"2,712",4.351,0.004860
1172,CLINICS IN CHEST MEDICINE,"2,641",4.347,0.004290
1172,INFLAMMATORY BOWEL DISEASES,"14,823",4.347,0.033880
1174,Implementation Science,"7,206",4.345,0.017810
1174,Implementation Science,"7,206",4.345,0.017810
1176,GEOPHYSICAL RESEARCH LETTERS,"91,173",4.339,0.180060
1176,NONLINEAR DYNAMICS,"17,004",4.339,0.034510
1178,IEEE Systems Journal,"3,113",4.337,0.007860
1179,QUATERNARY SCIENCE REVIEWS,"21,248",4.334,0.037350
1180,EUROPEAN JOURNAL OF ENDOCRINOLOGY,"13,207",4.333,0.021710
1181,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,"15,568",4.330,0.020760
1182,Elements,"2,806",4.329,0.005720
1182,Trauma Violence & Abuse,"1,838",4.329,0.003450
1184,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,"8,339",4.328,0.005060
1185,Journal of Advanced Research,"1,843",4.327,0.003820
1186,ACS Infectious Diseases,749,4.325,0.003090
1187,AMERICAN JOURNAL OF EPIDEMIOLOGY,"37,181",4.322,0.042230
1188,JOURNAL OF NEUROSURGERY,"34,561",4.318,0.030750
1188,Science China-Materials,924,4.318,0.001990
1190,JOURNAL OF QUANTITATIVE CRIMINOLOGY,"2,065",4.316,0.003450
1191,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,"1,464",4.313,0.001130
1191,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,"1,464",4.313,0.001130
1193,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,"7,143",4.311,0.010270
1193,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,"7,143",4.311,0.010270
1195,HARVARD LAW REVIEW,"6,560",4.308,0.006810
1195,IMA Fungus,705,4.308,0.001980
1197,ANTIVIRAL RESEARCH,"8,099",4.307,0.017610
1198,CLINICAL ORAL IMPLANTS RESEARCH,"14,065",4.305,0.016880
1198,INFORMATION SCIENCES,"25,329",4.305,0.048140
1198,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"5,988",4.305,0.005620
1198,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"5,988",4.305,0.005620
1202,AMERICAN STATISTICIAN,"5,299",4.302,0.004240
1202,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"10,938",4.302,0.015770
1204,Frontiers in Cellular Neuroscience,"7,825",4.300,0.031560
1205,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,"33,910",4.291,0.030000
1205,NICOTINE & TOBACCO RESEARCH,"8,476",4.291,0.022120
1205,NICOTINE & TOBACCO RESEARCH,"8,476",4.291,0.022120
1208,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,"21,496",4.288,0.023780
1209,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,"9,711",4.287,0.019840
1210,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,"11,931",4.280,0.022190
1211,Annals of the New York Academy of Sciences,"46,160",4.277,0.033270
1211,CURRENT OPINION IN RHEUMATOLOGY,"4,529",4.277,0.009370
1213,CONTACT DERMATITIS,"5,484",4.275,0.003800
1214,Expert Review of Vaccines,"3,869",4.271,0.009750
1215,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"8,713",4.270,0.017580
1215,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"8,713",4.270,0.017580
1215,PROGRESS IN OCEANOGRAPHY,"7,444",4.270,0.011500
1215,REVIEW OF FINANCIAL STUDIES,"13,600",4.270,0.044860
1219,ARTHRITIS RESEARCH & THERAPY,"15,259",4.269,0.030790
1219,Plant Methods,"2,026",4.269,0.004470
1221,INFORMATION SYSTEMS JOURNAL,"1,580",4.267,0.001640
1222,CURRENT OPINION IN PSYCHIATRY,"3,675",4.266,0.006830
1222,CURRENT OPINION IN PSYCHIATRY,"3,675",4.266,0.006830
1224,AMERICAN NATURALIST,"29,269",4.265,0.020530
1225,IEEE Transactions on Robotics,"12,064",4.264,0.012250
1226,HYDROLOGY AND EARTH SYSTEM SCIENCES,"14,622",4.256,0.031870
1227,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,"61,812",4.255,0.087760
1228,LABORATORY INVESTIGATION,"10,461",4.254,0.010460
1228,PHYSICS LETTERS B,"62,575",4.254,0.077830
1230,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,"10,395",4.253,0.016630
1231,Geoscientific Model Development,"5,475",4.252,0.021930
1232,Advances in Clinical Chemistry,875,4.250,0.001740
1232,MAMMAL REVIEW,"1,723",4.250,0.002320
1234,JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,"5,287",4.249,0.007990
1234,NEUROPHARMACOLOGY,"19,698",4.249,0.037040
1236,EUROPEAN JOURNAL OF IMMUNOLOGY,"21,417",4.248,0.029960
1237,JOURNAL OF CLINICAL PSYCHIATRY,"18,677",4.247,0.020820
1237,JOURNAL OF CLINICAL PSYCHIATRY,"18,677",4.247,0.020820
1239,JOURNAL OF CLINICAL EPIDEMIOLOGY,"24,063",4.245,0.027230
1240,INTERNATIONAL JOURNAL OF DRUG POLICY,"4,191",4.244,0.010110
1240,TALANTA,"37,747",4.244,0.044450
1242,HUMAN GENE THERAPY,"5,559",4.241,0.007690
1243,JOURNAL OF VIRAL HEPATITIS,"4,846",4.237,0.010070
1243,SYSTEMATIC ENTOMOLOGY,"2,228",4.237,0.004130
1245,BIOCHEMICAL PHARMACOLOGY,"27,513",4.235,0.024720
1246,Brain Structure & Function,"5,283",4.231,0.016860
1247,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,"75,123",4.229,0.081370
1247,JOURNAL OF ORGANIZATIONAL BEHAVIOR,"10,192",4.229,0.010340
1249,JOURNAL OF CLINICAL IMMUNOLOGY,"4,641",4.227,0.009100
1249,MEDICAL JOURNAL OF AUSTRALIA,"11,255",4.227,0.013820
1251,CANCER IMMUNOLOGY IMMUNOTHERAPY,"7,509",4.225,0.012830
1252,JOURNAL OF LEUKOCYTE BIOLOGY,"17,244",4.224,0.021200
1253,JOURNAL OF THE ENERGY INSTITUTE,973,4.217,0.001960
1254,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,"3,485",4.215,0.001750
1255,NEURAL COMPUTING & APPLICATIONS,"5,191",4.213,0.011010
1256,SEPARATION AND PURIFICATION REVIEWS,675,4.212,0.000760
1257,ACS Chemical Neuroscience,"4,336",4.211,0.013270
1258,European Journal of Psychotraumatology,"1,242",4.209,0.004100
1259,CNS DRUGS,"4,364",4.206,0.007540
1260,Clinical Lung Cancer,"2,360",4.204,0.005450
1261,IEEE TRANSACTIONS ON SIGNAL PROCESSING,"35,782",4.203,0.055570
1262,Journal of Translational Medicine,"9,947",4.197,0.023640
1263,Nutrients,"12,031",4.196,0.032520
1264,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,"7,025",4.195,0.007080
1264,Journal of Global Health,754,4.195,0.003280
1264,Journal of Global Health,754,4.195,0.003280
1267,CURRENT PROBLEMS IN CARDIOLOGY,569,4.190,0.001040
1268,MOLECULAR PLANT PATHOLOGY,"5,081",4.188,0.009160
1269,Current Opinion in Environmental Sustainability,"3,255",4.186,0.009460
1270,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,"9,823",4.185,0.013170
1271,TOXICOLOGICAL SCIENCES,"17,075",4.181,0.018490
1272,ENVIRONMENTAL MODELLING & SOFTWARE,"11,551",4.177,0.019590
1272,PROGRESS IN PHYSICAL GEOGRAPHY,"3,536",4.177,0.003350
1274,AMERICAN HEART JOURNAL,"21,762",4.171,0.035520
1274,Current Opinion in Insect Science,"1,150",4.171,0.005020
1276,Therapeutic Advances in Gastroenterology,"1,238",4.168,0.003570
1277,SEMINARS IN LIVER DISEASE,"3,693",4.167,0.004680
1278,Solid Earth,"1,603",4.165,0.005320
1279,SCRIPTA MATERIALIA,"28,689",4.163,0.032910
1280,Geobiology,"2,038",4.158,0.004150
1281,Frontiers in Chemistry,"1,183",4.155,0.004070
1281,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,"29,943",4.155,0.036360
1281,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,"29,943",4.155,0.036360
1284,JOURNAL OF BIOGEOGRAPHY,"15,146",4.154,0.022800
1285,Frontiers in Genetics,"6,378",4.151,0.028840
1285,TOBACCO CONTROL,"6,643",4.151,0.015560
1285,TOBACCO CONTROL,"6,643",4.151,0.015560
1288,ASTRONOMICAL JOURNAL,"34,707",4.150,0.042950
1289,ARTHRITIS CARE & RESEARCH,"15,360",4.149,0.030190
1290,Computational and Structural Biotechnology Journal,933,4.148,0.003730
1291,RELIABILITY ENGINEERING & SYSTEM SAFETY,"11,985",4.139,0.015090
1292,HARMFUL ALGAE,"4,669",4.138,0.007390
1292,International Journal of Oral Science,918,4.138,0.002240
1294,PEDIATRIC ALLERGY AND IMMUNOLOGY,"4,341",4.137,0.006970
1295,Science Bulletin,"1,952",4.136,0.005900
1296,INTERNATIONAL SECURITY,"2,922",4.135,0.003580
1297,BEHAVIOUR RESEARCH AND THERAPY,"17,004",4.134,0.013710
1298,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,"37,768",4.130,0.050940
1298,INTERNATIONAL JOURNAL OF COAL GEOLOGY,"10,323",4.130,0.014250
1300,EUROPEAN NEUROPSYCHOPHARMACOLOGY,"6,920",4.129,0.015110
1300,EUROPEAN PSYCHIATRY,"4,876",4.129,0.007890
1300,EUROPEAN PSYCHIATRY,"4,876",4.129,0.007890
1300,Neurophotonics,533,4.129,0.002070
1304,npj Biofilms and Microbiomes,183,4.128,0.000690
1305,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"20,455",4.127,0.039330
1305,APL Materials,"3,206",4.127,0.013430
1307,HELICOBACTER,"2,862",4.123,0.004320
1308,Scientific Reports,"192,841",4.122,0.718960
1309,Hepatology International,"2,009",4.117,0.005320
1310,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,"14,668",4.116,0.033010
1311,TRANSFUSION MEDICINE REVIEWS,"1,292",4.111,0.002350
1312,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,"10,247",4.107,0.021320
1313,HEART FAILURE REVIEWS,"2,288",4.104,0.005280
1314,COMPOSITE STRUCTURES,"27,416",4.101,0.043720
1315,JOURNAL OF PETROLOGY,"14,657",4.100,0.012560
1316,DALTON TRANSACTIONS,"67,778",4.099,0.104060
1316,PROSTATE CANCER AND PROSTATIC DISEASES,"2,022",4.099,0.004890
1318,IEEE TRANSACTIONS ON MOBILE COMPUTING,"7,641",4.098,0.016460
1318,JOURNAL OF ADOLESCENT HEALTH,"14,174",4.098,0.026400
1318,JOURNAL OF ADOLESCENT HEALTH,"14,174",4.098,0.026400
1321,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,"10,325",4.095,0.012650
